SER_A,SER_C,SER_D,SER_E,SER_F,SER_G,SER_H,SER_I,SER_K,SER_L,SER_M,SER_N,SER_P,SER_Q,SER_R,SER_S,SER_T,SER_V,SER_W,SER_Y
-0.25,0,0,0,-0.25,-0.453,0,-0.25,-0.375,-0.375,0,0,-0.25,0,-0.25,-0.25,-0.375,-0.25,0,0
-0.431,0,0,0,0,-0.5,0,-0.299,0,0,-0.431,0,-0.299,0,-0.431,-0.299,0,0,0,0
-0.375,0,0,-0.25,-0.375,-0.453,-0.25,0,0,-0.25,0,-0.453,0,0,-0.375,0,0,0,0,-0.25
-0.141,0,-0.347,-0.294,-0.141,0,0,-0.141,-0.141,-0.141,0,-0.294,-0.347,-0.52,-0.228,-0.228,0,-0.228,-0.141,0
0,0,0,-0.447,0,-0.314,-0.314,-0.314,0,0,0,0,-0.447,-0.314,-0.314,0,-0.314,0,0,-0.314
-0.26,0,0,-0.26,-0.388,-0.509,0,-0.26,0,-0.26,-0.26,-0.388,-0.26,0,0,-0.26,0,0,0,0
-0.342,0,0,-0.224,-0.224,-0.473,0,0,-0.342,-0.224,0,-0.224,-0.342,0,-0.342,-0.342,-0.224,0,0,0
-0.401,0,-0.253,-0.401,-0.158,-0.095,0,0,-0.209,-0.44,-0.095,-0.158,-0.29,-0.352,-0.209,-0.209,-0.158,0,0,-0.095
-0.339,0,-0.266,0,0,-0.394,-0.339,-0.168,-0.168,-0.437,0,-0.168,-0.168,0,-0.168,-0.394,-0.168,0,-0.168,-0.168
-0.268,0,-0.206,-0.361,-0.268,-0.472,0,0,-0.268,-0.426,0,-0.126,0,-0.126,-0.206,-0.268,-0.206,-0.126,0,-0.126
0,0,-0.363,0,-0.491,-0.24,0,0,-0.363,-0.363,0,-0.24,-0.363,0,-0.363,-0.24,0,0,0,0
-0.24,0,-0.309,-0.24,-0.15,-0.309,-0.24,0,0,-0.469,0,-0.15,-0.15,-0.15,-0.15,-0.407,-0.309,0,-0.15,-0.15
0,0,-0.25,-0.25,0,0,0,-0.25,0,-0.25,-0.375,-0.25,-0.375,-0.25,0,0,-0.25,-0.25,0,-0.5
-0.42,-0.224,-0.42,-0.342,0,0,-0.224,0,-0.224,-0.473,0,0,-0.224,0,-0.224,-0.342,0,0,0,0
-0.24,0,-0.363,-0.24,0,0,-0.363,-0.24,0,0,0,0,-0.24,0,-0.363,-0.363,-0.442,0,0,-0.363
0,0,-0.285,-0.285,-0.415,-0.488,-0.285,0,0,-0.285,0,0,0,0,0,-0.285,0,-0.415,0,-0.285
-0.278,0,-0.352,-0.176,-0.176,-0.451,-0.176,-0.176,-0.176,-0.278,0,-0.278,-0.176,0,-0.352,-0.352,0,0,-0.176,0
-0.191,-0.299,-0.232,-0.327,-0.267,-0.144,-0.144,-0.191,-0.086,-0.352,0,-0.232,-0.232,-0.191,-0.267,-0.191,-0.144,-0.327,0,-0.191
0,0,-0.352,0,-0.352,-0.232,0,-0.232,-0.352,-0.352,0,-0.232,-0.352,0,-0.232,-0.352,-0.232,-0.232,0,0
0,-0.266,-0.266,-0.339,0,-0.266,0,-0.168,-0.266,-0.394,0,-0.168,-0.168,-0.266,-0.168,-0.266,-0.266,-0.339,-0.168,0
-0.299,0,-0.431,0,-0.299,-0.299,-0.299,0,0,-0.299,-0.299,0,0,-0.299,-0.299,-0.299,0,0,0,-0.299
-0.342,0,-0.342,0,0,0,-0.224,-0.224,-0.224,-0.42,-0.224,-0.224,0,-0.507,0,0,-0.224,0,0,-0.224
-0.306,0,-0.197,0,-0.306,-0.383,-0.306,-0.197,-0.197,-0.306,0,-0.197,-0.306,-0.383,0,-0.197,0,-0.197,0,-0.197
-0.26,0,-0.26,-0.26,-0.388,-0.464,0,-0.26,0,-0.26,-0.26,-0.26,-0.26,0,0,-0.26,-0.26,0,0,0
-0.473,0,-0.138,0,-0.138,0,-0.138,-0.342,-0.289,-0.385,-0.224,-0.385,-0.138,-0.138,-0.138,-0.138,-0.224,-0.224,0,0
-0.314,0,-0.314,0,-0.447,-0.314,0,0,0,0,-0.447,-0.314,-0.314,0,-0.314,-0.314,0,0,0,0
-0.347,-0.228,0,0,-0.141,-0.228,0,-0.228,-0.141,-0.347,0,-0.426,-0.141,-0.141,-0.228,-0.347,-0.39,-0.141,0,-0.141
