,Instability_index,y
Neg_2085,9.384615384615389,0
Neg_1812,82.72195121951218,0
Neg_659,73.92615384615382,0
Neg_2775,49.906451612903226,0
Neg_807,70.98620689655172,0
Neg_379,26.254081632653055,0
Neg_683,57.555555555555536,0
Neg_2124,46.96071428571429,0
Neg_1239,79.72400000000002,0
Neg_1478,36.66,0
Neg_711,24.19523809523809,0
Neg_1422,32.12678571428572,0
Neg_2642,49.80277777777778,0
Neg_2243,15.917582417582416,0
Neg_419,66.86785714285715,0
Neg_2335,17.553521126760565,0
Neg_708,34.35000000000001,0
Neg_2224,27.52987012987012,0
Neg_75,35.40835294117647,0
Neg_1927,54.886329113924056,0
Neg_396,40.85384615384616,0
Neg_2062,43.67246376811593,0
Neg_1758,37.881395348837216,0
Neg_1696,38.51846153846153,0
Neg_1938,20.239100000000004,0
Neg_2212,62.86326530612244,0
Neg_491,45.18783783783785,0
Neg_857,39.3423076923077,0
Neg_2686,48.17619047619048,0
Neg_2549,71.30535714285713,0
Neg_465,43.36301369863013,0
Neg_214,42.79761904761904,0
Neg_1450,37.06944444444446,0
Neg_2311,21.85147058823529,0
Neg_566,27.5063829787234,0
Neg_1468,95.41875,0
Neg_324,34.096226415094335,0
Neg_1106,26.499,0
Neg_1455,53.29038461538462,0
Neg_1775,49.51414141414141,0
Neg_2533,38.40943396226415,0
Neg_84,40.84125,0
Neg_2087,34.940909090909095,0
Neg_454,46.24399999999999,0
Neg_1320,62.08857142857143,0
Neg_534,65.4,0
Neg_2600,49.291860465116265,0
Neg_2303,19.325227272727272,0
Neg_1332,48.50526315789474,0
Neg_1096,23.700000000000006,0
Neg_278,110.11785714285712,0
Neg_2916,43.59473684210527,0
Neg_365,41.88181818181816,0
