,Eisenberg,y
Neg_407,0.0762661835721624,0
Neg_191,0.1361978491394589,0
Neg_1737,0.0938799614365513,0
Neg_1001,0.0532384197396063,0
Neg_2120,0.0786889508715845,0
Neg_960,0.0782355934470938,0
Neg_1356,0.0209671718979552,0
Neg_1764,0.2799585890740551,0
Neg_901,0.169817044736336,0
Neg_2556,0.0574948314466037,0
Neg_303,0.0677037949545719,0
Neg_654,0.0387894273539539,0
Neg_251,0.0676317058684075,0
Neg_1958,0.0568960295009793,0
Neg_2857,0.0664870711637636,0
Neg_1824,0.0718882221283012,0
Neg_9,0.2626374591926581,0
Neg_1397,0.0529155915477804,0
Neg_1841,0.177122268251232,0
Neg_1197,0.1248288928910937,0
Neg_1357,0.0568536181404558,0
Neg_2898,0.1244694387418287,0
Neg_2132,0.1715189130114271,0
Neg_647,0.0509442240685854,0
Neg_2646,0.304568823864896,0
Neg_476,0.1607342951106412,0
Neg_231,0.1391315316412255,0
Neg_451,0.1045044104386095,0
Neg_1073,0.2616176271506166,0
Neg_7,0.0977932246289317,0
Neg_1877,0.0621171832016646,0
Neg_2912,0.1209188328816031,0
Neg_1968,0.0821716591468128,0
Neg_2590,0.1212661688507415,0
Neg_2781,0.1153536418529597,0
Neg_940,0.2950111587139735,0
Neg_459,0.0980689396898527,0
Neg_1657,0.1214338803201939,0
Neg_2544,0.2029944633885506,0
Neg_2345,0.0768791973822338,0
Neg_2406,0.1237756302636016,0
Neg_2060,0.0677860577681485,0
Neg_2697,0.2588827519959072,0
Neg_1979,0.0485697682044868,0
Neg_875,0.1611160531190194,0
Neg_798,0.129613689628631,0
Neg_2520,0.2696376889811399,0
Neg_2252,0.0495742251745277,0
Neg_1502,0.1425245010154218,0
Neg_2316,0.0563751232535685,0
Neg_2282,0.0921223696996623,0
Neg_2664,0.2461445629988959,0
Neg_1274,0.3724644833569076,0
Neg_1290,0.1394357420764995,0
Neg_299,0.1071227198003698,0
Neg_2528,0.0766217250917345,0
Neg_1387,0.0307385457836394,0
Neg_13,0.0846790969345823,0
Neg_586,0.1057910727558527,0
Neg_1691,0.0831372810286178,0
Neg_629,0.098459906519645,0
Neg_1089,0.0680939928527726,0
Neg_2884,0.148634677950922,0
Neg_2610,0.0396888804341998,0
Neg_470,0.1160506272626318,0
Neg_1649,0.2276382442603305,0
Neg_1177,0.0646623505735038,0
Neg_2447,0.2058448833119567,0
Neg_10,0.2715115627553529,0
Neg_2623,0.0752427194300064,0
