,Aliphatic_Index,y
Neg_978,56.34615384615385,0
Neg_724,110.43478260869564,0
Neg_1766,72.56410256410255,0
Neg_868,57.8125,0
Neg_1825,94.63768115942028,0
Neg_2020,102.54237288135594,0
Neg_1628,97.33333333333331,0
Neg_892,106.53333333333336,0
Neg_2692,115.45454545454544,0
Neg_512,80.58823529411764,0
Neg_2128,95.89285714285714,0
Neg_1647,121.37931034482756,0
Neg_2419,115.625,0
Neg_2659,32.59259259259259,0
Neg_1214,112.89473684210526,0
Neg_411,78.02469135802468,0
Neg_2321,90.54545454545456,0
Neg_1384,79.54545454545455,0
Neg_1489,106.1,0
Neg_2666,54.28571428571428,0
Neg_1905,61.28205128205128,0
Neg_55,98.75,0
Neg_1178,84.47761194029849,0
Neg_2369,85.6923076923077,0
Neg_1,77.1875,0
Neg_1999,41.05263157894736,0
Neg_1883,112.5,0
Neg_1643,76.17647058823529,0
Neg_2885,64.99999999999999,0
Neg_1786,92.96875,0
Neg_1933,79.27536231884056,0
Neg_814,124.48275862068964,0
Neg_1593,82.41379310344827,0
Neg_1298,76.86868686868686,0
Neg_285,70.46511627906976,0
Neg_2792,82.75,0
Neg_2154,84.74747474747474,0
Neg_1689,51.94805194805194,0
Neg_603,115.26315789473682,0
Neg_1021,74.28571428571428,0
Neg_1820,81.75675675675677,0
Neg_222,44.94252873563218,0
Neg_256,124.09090909090908,0
Neg_704,37.72727272727273,0
Neg_144,72.02380952380952,0
Neg_2067,83.4090909090909,0
Neg_1406,55.71428571428572,0
Neg_2616,91.74418604651164,0
Neg_648,142.2972972972973,0
Neg_2774,39.76744186046512,0
Neg_292,116.8235294117647,0
Neg_2667,73.83838383838383,0
Neg_257,102.71186440677964,0
Neg_1768,28.33333333333333,0
Neg_2249,56.16161616161615,0
Neg_779,63.82716049382715,0
Neg_2513,81.11111111111111,0
Neg_2425,85.3932584269663,0
Neg_2272,80.45454545454547,0
Neg_361,96.2162162162162,0
Neg_1745,84.0909090909091,0
Neg_2902,98.69047619047618,0
Neg_808,97.57575757575758,0
Neg_407,89.38144329896906,0
Neg_191,80.73170731707316,0
Neg_1737,91.19565217391305,0
Neg_1001,97.57575757575758,0
Neg_2120,66.86567164179104,0
Neg_960,84.24657534246575,0
Neg_1356,57.02380952380952,0
Neg_1764,110.66666666666666,0
Neg_901,64.33962264150944,0
Neg_2556,154.8648648648649,0
Neg_303,59.84615384615385,0
Neg_654,67.91666666666666,0
Neg_251,108.4722222222222,0
Neg_1958,107.16666666666666,0
Neg_2857,117.9310344827586,0
Neg_1824,88.98305084745762,0
Neg_9,97.5,0
Neg_1397,113.015873015873,0
Neg_1841,106.51162790697674,0
Neg_1197,87.42268041237114,0
Neg_1357,82.78481012658227,0
Neg_2898,13.6,0
Neg_2132,44.0,0
Neg_647,75.05747126436782,0
Neg_2646,134.16666666666666,0
Neg_476,88.0,0
Neg_231,3.225806451612903,0
Neg_451,83.2258064516129,0
Neg_1073,88.63636363636364,0
Neg_7,54.230769230769226,0
Neg_1877,121.66666666666664,0
Neg_2912,89.13043478260869,0
Neg_1968,47.81818181818181,0
Neg_2590,65.09803921568627,0
Neg_2781,87.88732394366197,0
Neg_940,124.44444444444444,0
Neg_459,77.08333333333333,0
Neg_1657,120.7142857142857,0
Neg_2544,88.06451612903226,0
Neg_2345,113.89830508474576,0
Neg_2406,96.14035087719296,0
Neg_2060,91.38297872340424,0
Neg_2697,100.27777777777776,0
Neg_1979,89.68253968253968,0
Neg_875,89.16666666666666,0
Neg_798,80.375,0
Neg_2520,74.92753623188406,0
Neg_2252,93.54166666666669,0
Neg_1502,53.12499999999999,0
Neg_2316,80.37974683544303,0
Neg_2282,74.70588235294119,0
Neg_2664,74.32835820895522,0
Neg_1274,152.5,0
Neg_1290,66.36363636363636,0
