,Kytedoolittle,y
Neg_1691,0.0935940161237085,0
Neg_629,0.031959092130255,0
Neg_1089,0.0823395639995816,0
Neg_2884,0.0741275450711769,0
Neg_2610,0.0241449089763319,0
Neg_470,0.0783253072255302,0
Neg_1649,0.1848085376808003,0
Neg_1177,0.0633585013197293,0
Neg_2447,0.1971259159107179,0
Neg_10,0.2931382000577868,0
Neg_2623,0.1174691912187312,0
Neg_265,0.3552147492950332,0
Neg_273,0.4197870606651943,0
Neg_2305,0.1958782096432478,0
Neg_915,0.1396371295850049,0
Neg_1945,0.0918182375889254,0
Neg_961,0.0251702000420739,0
Neg_2662,0.1369704782069024,0
Neg_1146,0.109959585026313,0
Neg_1137,0.1434205277529159,0
Neg_41,0.1274913660293306,0
Neg_1496,0.1293990235057652,0
Neg_2270,0.0813414172771549,0
Neg_1721,0.051158404941948,0
Neg_2196,0.1409656947909664,0
Neg_1988,0.0895847787625977,0
Neg_2464,0.0658884168519105,0
Neg_521,0.0291560443312225,0
Neg_1062,0.1704640240294592,0
Neg_899,0.0762213494060271,0
Neg_374,0.0992151198380145,0
Neg_2106,0.2353895667411801,0
Neg_3,0.051176557719055,0
Neg_405,0.1758717720679436,0
Neg_1873,0.0631921999841599,0
Neg_2506,0.0960523655907806,0
Neg_2777,0.0439930651150045,0
Neg_762,0.0752033113434924,0
Neg_401,0.2232370741801873,0
Neg_1801,0.3678029870387077,0
Neg_2863,0.0652939082826108,0
Neg_2412,0.0880868942775539,0
Neg_1094,0.0321060684394358,0
Neg_1795,0.1567948800123403,0
Neg_1144,0.2687462727464403,0
Neg_1201,0.0762461317830889,0
Neg_2435,0.1542475798364932,0
Neg_252,0.1250437119113706,0
Neg_2676,0.0361276338557707,0
Neg_322,0.2579525081388514,0
Neg_1525,0.0587662154389283,0
Neg_1228,0.102989907227048,0
Neg_2042,0.0173338046647842,0
Neg_2308,0.1076595626104789,0
Neg_2157,0.0332780045942597,0
Neg_2159,0.1123169503197227,0
Neg_2734,0.1733954655313221,0
Neg_1207,0.1454213016686543,0
Neg_120,0.134474713394902,0
Neg_2631,0.1348624666225175,0
Neg_595,0.079586519761459,0
Neg_993,0.1971644099711696,0
Neg_1596,0.2793658157648993,0
Neg_2868,0.1027432226329202,0
Neg_579,0.2369777442587856,0
Neg_1663,0.140107788540389,0
Neg_1040,0.2060902053582284,0
Neg_2240,0.0611475467598974,0
Neg_2349,0.0678676141379701,0
Neg_2207,0.0761157663650674,0
Neg_1153,0.2632715410063985,0
Neg_580,0.2546492303565936,0
Neg_2390,0.2230080196992298,0
Neg_1683,0.2206954652177755,0
Neg_2601,0.1686241117964078,0
Neg_2888,0.1171374278866165,0
Neg_1121,0.1529396750500294,0
Neg_2688,0.0599595320897957,0
Neg_1493,0.2011470974428869,0
Neg_1272,0.0729384313600463,0
Neg_1242,0.0683261976226,0
Neg_1292,0.2584455129529447,0
Neg_2398,0.0306054350135325,0
Neg_1990,0.1204955986099648,0
Neg_2241,0.4632074015557164,0
Neg_508,0.0215921407978462,0
Neg_307,0.0553244386441263,0
Neg_2448,0.0855443845046932,0
Neg_600,0.0802458835610359,0
Neg_601,0.1063028085413652,0
Neg_1217,0.1322351395414299,0
Neg_839,0.3070637402721033,0
Neg_682,0.1673282004954654,0
Neg_2187,0.1142082862506818,0
Neg_2821,0.0534946737038246,0
Neg_2789,0.0196917005468374,0
Neg_169,0.2009244769977603,0
Neg_320,0.0612360658414071,0
Neg_2889,0.0398346363668526,0
Neg_17,0.1681642332444149,0
Neg_1714,0.0182631248899951,0
Neg_2605,0.2609267256468869,0
Neg_1527,0.1097640162199483,0
Neg_83,0.2040198868104623,0
Neg_2246,0.0576438947170731,0
Neg_114,0.2653522602157984,0
Neg_1808,0.1263650870355189,0
Neg_958,0.3278644076169476,0
Neg_2093,0.0845861846338556,0
Neg_1561,0.0302520401711379,0
Neg_1870,0.1489924129252057,0
Neg_1335,0.0716685421830764,0
Neg_1574,0.030869118139542,0
Neg_2188,0.0647286352086629,0
Neg_608,0.2649943101818779,0
Neg_1240,0.2007419496176443,0
Neg_2628,0.0835843710123113,0
Neg_1855,0.0796543956357577,0
Neg_1793,0.1861887803465003,0
Neg_2263,0.1191461709163826,0
Neg_2400,0.2461271851191298,0
Neg_1583,0.1583725821048435,0
Neg_410,0.2905529712866918,0
Neg_2849,0.1497218157608792,0
Neg_1389,0.0827307220221286,0
Neg_130,0.1268964161534963,0
Neg_2784,0.0616211471884391,0
Neg_2759,0.2113132233061907,0
Neg_2148,0.3433863472199566,0
Neg_2886,0.1595098725633181,0
Neg_903,0.1125338852589042,0
Neg_2844,0.1718905899680002,0
Neg_1071,0.1282417579647852,0
Neg_2491,0.2779606216377148,0
Neg_2731,0.1696128008096705,0
Neg_1497,0.0843107272776876,0
Neg_2096,0.0281418382816141,0
Neg_2234,0.0668258194577933,0
Neg_263,0.076402810084928,0
Neg_2409,0.2111879436663988,0
Neg_171,0.1635940614126678,0
Neg_2185,0.1899315420597588,0
Neg_1630,0.0726001868886311,0
Neg_239,0.2434376687474595,0
Neg_933,0.16413899696656,0
Neg_2276,0.0748863619326204,0
Neg_2707,0.1325769641548281,0
Neg_1971,0.4262274948773282,0
Neg_293,0.2427804234074605,0
Neg_766,0.0701776980778395,0
Neg_1208,0.1901396642372208,0
Neg_1076,0.1022030968623151,0
Neg_2860,0.1472414143199509,0
Neg_2048,0.2254473854678443,0
Neg_837,0.2498356888002454,0
Neg_2085,0.0785760315174712,0
Neg_1812,0.1454934346075386,0
Neg_659,0.1071230341581935,0
Neg_2775,0.069204908553007,0
Neg_807,0.1038542554368212,0
Neg_379,0.0949253519118982,0
Neg_683,0.109777608076958,0
Neg_2124,0.1222026527197334,0
Neg_1239,0.0449506049233958,0
Neg_1478,0.2363865941171156,0
Neg_711,0.1226312442350394,0
Neg_1422,0.1432946832600955,0
Neg_2642,0.1080283406993628,0
Neg_2243,0.0428024155429762,0
Neg_419,0.2010448407308016,0
Neg_2335,0.1578334977913262,0
