,NMBroto_CIDH920105.lag1,NMBroto_CIDH920105.lag2,NMBroto_CIDH920105.lag3,NMBroto_BHAR880101.lag1,NMBroto_BHAR880101.lag2,NMBroto_BHAR880101.lag3,NMBroto_CHAM820101.lag1,NMBroto_CHAM820101.lag2,NMBroto_CHAM820101.lag3,NMBroto_CHAM820102.lag1,NMBroto_CHAM820102.lag2,NMBroto_CHAM820102.lag3,NMBroto_CHOC760101.lag1,NMBroto_CHOC760101.lag2,NMBroto_CHOC760101.lag3,NMBroto_BIGC670101.lag1,NMBroto_BIGC670101.lag2,NMBroto_BIGC670101.lag3,NMBroto_CHAM810101.lag1,NMBroto_CHAM810101.lag2,NMBroto_CHAM810101.lag3,NMBroto_DAYM780201.lag1,NMBroto_DAYM780201.lag2,NMBroto_DAYM780201.lag3,y
peptide_nm_33,-0.1212681053998802,-0.2097897280249005,-0.4700763292897088,0.0220877884074281,-0.2741713951434782,0.2348027941572263,0.2872804926966373,0.1244990290498782,0.3823064137972007,0.0250073567028619,0.030746029924736,0.0808233273598532,0.2996657362417725,0.0682029642021371,0.3010786036734553,0.1785165831779994,-0.0666133795308629,0.3008509109668926,0.1362330789328543,-0.1850822043368657,0.0385265002089793,0.1364190754970117,0.0190617247639604,0.0536522425713019,0
peptide_nm_34,0.0714717418607873,-0.2387511642948404,-0.0656279974835333,0.0752224478644189,-0.1531587188960389,-0.0642662278877444,0.2462907519905389,0.1518778003285443,0.1674083550820048,-0.1106573849027576,0.0821274014480102,-0.0231882802412016,0.1984102369711798,0.1788138805610117,0.1702677556083945,0.1038553424981263,-0.0879429399252599,0.0033084827873969,-0.3112674792977553,0.010540538993124,0.1062126772740029,0.1217670961157007,-0.2514298919637183,-0.055789858840295,0
peptide_nm_35,0.0043403919062908,0.3580837562623714,0.1394409563939977,0.0529348437767615,0.1480983722303978,0.1512159270349677,0.0732998157407422,0.2954460719461777,0.074570745150561,-0.1602929093415213,0.2128690388815159,0.6058450262124904,-0.0583181134199432,0.2011342322517759,0.0664630865189119,0.0321261251218165,0.3268945875515475,0.0163685146238075,-0.3398259847283377,0.1562121456258029,0.3767222019874329,-0.3244041314409331,0.3520904346486411,-0.1687665080119873,0
peptide_nm_36,-0.4446076456292221,0.0965637309318724,-0.351199214923409,0.1537603902300148,0.3018491106163301,0.3303476520977936,-0.1011010213910464,0.1154975345365219,0.0224072336841214,0.0306084048387891,-0.1435524903679496,-0.0283169420943057,-0.1899977757519368,0.0379406595678693,-0.1028866145169256,-0.2186557917175042,0.0270080227542593,-0.1031072101085651,0.0582386770272882,-0.3550747456472322,-0.2714947411813873,0.6397757691304397,0.6331966029233341,0.7492826467926123,0
peptide_nm_37,-0.062872354774184,-0.1912564867755256,0.2867156496574225,-0.0323411518531793,-0.1888319346235716,-0.0607344672039074,0.3179452835122316,0.2302856947240265,0.2387258692738531,0.1083736012909569,0.2165239598758395,0.1636761241241615,0.3563377517278784,0.2352673152838561,0.2476621899758465,0.2744666077960885,0.126904982380411,0.225913550445803,0.7080587091816427,0.0440178353884489,0.2921386035854801,0.0537577418466224,-0.0320150296463197,-0.0805361372696286,0
peptide_nm_38,-0.059978099231396,-0.0608067885045016,0.1981370946081614,-0.2787532254391395,0.0427099899684374,0.0790416289463599,0.3822996120788741,0.2950158814809085,0.2109275733548496,-0.0578038968419362,-0.0599836779167887,-0.0122957139190823,0.2904807725442482,0.3515283090389056,0.1693775342591635,0.3438171882557249,0.3030071921168929,0.229222709925689,0.1119469277938064,-0.053071413439903,0.0465154004851356,-0.1021641327840415,-0.5598012594603963,0.105831263119379,0
peptide_nm_39,0.1489901761961285,-0.4027504990916544,-0.1491197035152052,-0.054455549846536,-0.0769109263435744,0.0748337757823397,0.0819526169865146,0.1056992341796548,0.0533141797653769,-0.1787956901269586,-0.0268040124394019,-0.1965351435213518,0.1137530583410868,0.129280410603195,0.0151107894827526,0.0503371011127114,-0.0298152870311439,0.0365769467535776,0.297970457990841,-0.1634186008838057,-0.0944068155663317,0.1436888965920104,-0.242494270803243,-0.1725282608277005,0
peptide_nm_40,0.373316317994377,0.0374906934221683,-0.0657224105173728,0.1960913606224466,-0.2982468212995355,-0.4267156046649422,-0.0459450759119587,0.5229283267868566,0.1415198922929421,0.1509285398213877,0.0971463879509196,0.0535040582287545,-0.3035735207967194,0.5854267893449118,-0.0078164680711438,-0.0672249028036468,0.707292333185458,0.1802474599381957,-0.1090066930418708,0.5458693797628518,0.2191806294849809,0.0984381920773391,-0.0962151995429482,-0.018459023997736,0
peptide_nm_41,0.0109230359670779,-0.1041076956736965,-0.0668961735423255,0.3360192910485298,0.10605742646187,0.2249161997504347,0.1229641050848319,0.0670856666858318,-0.1335406652951993,0.1919888888814078,-0.0083569765116494,0.0400508973703128,0.1902291346793224,0.1192666873427754,-0.0387814879906268,0.0302321380323044,0.1084119319139754,-0.0714093176623502,-0.0993370574153696,0.2011184871444011,0.1136626225960304,0.0291548890928789,-0.1509382254081543,-0.0241338802549733,0
peptide_nm_43,-0.2738016552492495,-0.1009920258894254,0.107646861674609,-0.6548452892804636,0.0103159942257343,0.2775969921623319,-0.2288587401650559,0.270891504409373,0.2987546726830696,0.1253208818747977,-0.3745826096729626,0.0177047097227487,-0.1836696333749987,0.0812226472311244,0.3533661853728017,-0.3685317755637785,0.0467207143622013,0.3647696637073303,-0.2353828160743354,-0.0940747399217906,0.4818080437372887,0.1584532131646351,0.2418009898511373,0.1485461427688016,0
