,Charge_density,Charge_phys,Charge_acid,y
peptide_nm_217,0.0013650151668351,0.0359388646822296,0.0359388646822296,0
peptide_nm_218,-1.2939623715742348e-06,0.1699179273094366,0.1699179273094366,0
peptide_nm_219,4.592215957240315e-05,0.1869259222924583,0.1650778056759518,0
peptide_nm_220,3.713848010770159e-05,0.0840439089005603,0.0902151103884768,0
peptide_nm_221,-0.0011771320565119,0.1010507885826685,0.144032416404847,0
peptide_nm_222,0.0033500219955171,0.0348706545084484,0.0348706545084484,0
peptide_nm_223,0.0013758139620319,0.1751856423986178,0.1751856423986178,0
peptide_nm_224,0.0004666034852249,0.0045454545454545,0.0454545454545454,0
peptide_nm_225,0.0008679727878801,0.0134050642982625,0.0591394878883152,0
peptide_nm_226,-0.0007200010776442,0.0923088296396462,0.0923088296396462,0
peptide_nm_227,0.0011671695553528,0.1198470000198362,0.1198470000198362,0
peptide_nm_228,0.0009681874105506,0.1324301098122617,0.1324301098122617,0
peptide_nm_229,0.0006066721781841,0.1626438536092208,0.1626438536092208,0
peptide_nm_230,6.919345459363567e-05,0.089876801814105,0.1566154367976514,0
peptide_nm_231,-0.0013740934569508,0.1264935073737336,0.1264935073737336,0
peptide_nm_232,-0.0012994609138144,0.0264535999719264,0.0264535999719264,0
peptide_nm_233,-2.8401022436807725e-07,0.0803321123409661,0.0803321123409661,0
peptide_nm_234,-2.882434278409732e-05,0.0788765607876785,0.0788765607876785,0
peptide_nm_235,-0.0015669381787802,0.2758641212248254,0.2758641212248254,0
peptide_nm_236,-0.0002731739139298,0.0906200462672506,0.1186762072869806,0
peptide_nm_237,-1.8508236165093464e-06,0.0588235294117647,0.0588235294117647,0
peptide_nm_238,0.0020321755473982,0.1542459716690012,0.1542459716690012,0
peptide_nm_239,-0.0002587832377727,0.0693688354209302,0.0476138970138177,0
peptide_nm_240,0.0021952974389111,0.0354424553445006,0.0354424553445006,0
peptide_nm_241,-0.0023936765081799,0.247933456105543,0.247933456105543,0
peptide_nm_242,0.0003587335981702,0.0723831211723624,0.0813219268046104,0
peptide_nm_243,0.0003180204764151,0.0678665651961018,0.0678665651961018,0
peptide_nm_244,0.0022966477834589,0.1392808078398142,0.1392808078398142,0
peptide_nm_245,0.0013782129260065,0.2639462339201417,0.2321250789955352,0
peptide_nm_246,-4.831991650318429e-07,0.0857216981983644,0.0857216981983644,0
peptide_nm_247,0.0020426251414701,0.0267151042564508,0.0267151042564508,0
peptide_nm_248,0.0007182693378946,0.1043266504860386,0.1052369671771287,0
peptide_nm_249,-0.0008300674590427,0.0880668338002109,0.1497775807657529,0
peptide_nm_250,0.0015937681176337,0.1063064609131874,0.1199743850654922,0
peptide_nm_251,-1.5065572906073686e-06,0.227655538652053,0.227655538652053,0
peptide_nm_252,-0.0022497339588423,0.1729122949112473,0.1729122949112473,0
peptide_nm_253,-0.0006902788036087,0.0806161939167338,0.0806161939167338,0
peptide_nm_254,-0.0006972429238245,0.0370208185279825,0.0370208185279825,0
peptide_nm_255,0.0015221556087192,0.1371771697194124,0.1403726221429704,0
peptide_nm_256,-7.566643210072716e-07,0.286667414834102,0.286667414834102,0
peptide_nm_257,-4.683276687986727e-05,0.1194292453245967,0.1194292453245967,0
peptide_nm_258,-0.0009721385102949,0.0792527267843447,0.0792527267843447,0
peptide_nm_259,-3.010252921450461e-07,0.031406615770422,0.031406615770422,0
peptide_nm_260,0.0005302615709131,0.0295604936798864,0.0295604936798864,0
peptide_nm_261,-0.0014484441515415,0.1130278457496842,0.1130278457496842,0
peptide_nm_262,0.0003285281279509,0.0384615384615384,0.0384615384615384,0
peptide_nm_263,0.0003442311946531,0.1931572391820377,0.1630445436718446,0
peptide_nm_264,-0.000744966442953,0.0428263002079384,0.0428263002079384,0
peptide_nm_265,0.0035374017142452,0.1818181818181818,0.1818181818181818,0
peptide_nm_266,0.0024649509642598,0.062185480604667,0.062185480604667,0
peptide_nm_267,-0.000528162511542,0.0555555555555555,0.0555555555555555,0
peptide_nm_268,-0.0022097767556032,0.1017945166105576,0.1017945166105576,0
peptide_nm_269,0.0006992859995655,0.0959743062024618,0.0959743062024618,0
peptide_nm_270,0.0011417338582947,0.1509816706296922,0.1509816706296922,0
peptide_nm_271,0.001703546994694,0.3171443424922184,0.3171443424922184,0
peptide_nm_272,0.0015854094647753,0.0769230769230769,0.0769230769230769,0
peptide_nm_273,0.0008338453816129,0.0501697797754892,0.0501697797754892,0
peptide_nm_274,0.000405380103718,0.0420740961751895,0.0420740961751895,0
peptide_nm_275,-2.817556192636317e-06,0.0769230769230769,0.0769230769230769,0
peptide_nm_276,0.0008146506244836,0.0,0.0,0
peptide_nm_277,-0.0008541244258107,0.0974091956795472,0.0827529026507973,0
peptide_nm_278,0.0007681191952636,0.0071428571428571,0.0714285714285714,0
peptide_nm_279,1.1461658629355432e-05,0.0451372037966277,0.0677674085809916,0
peptide_nm_280,0.0010093139280092,0.1789783985666128,0.1789783985666128,0
peptide_nm_281,-0.000598516538271,0.0488600204750954,0.0488600204750954,0
peptide_nm_282,7.696109009308242e-05,0.0916666666666666,0.1666666666666666,0
peptide_nm_283,0.0022186256190826,0.0884234287971501,0.1391408739333042,0
peptide_nm_284,-0.0007281396476482,0.0649135858208208,0.0787001735555303,0
peptide_nm_285,-0.0007113765096071,0.1355348171619832,0.2079443301053339,0
peptide_nm_286,0.0003536124988293,0.0665911934893046,0.0924197022690374,0
peptide_nm_287,0.0027949528579022,0.0526184835885644,0.0526184835885644,0
peptide_nm_288,-0.0012101546096583,0.0781788414195293,0.1406868218588869,0
peptide_nm_289,-0.0009201717653962,0.148137996933433,0.148137996933433,0
peptide_nm_290,0.0014088293810829,0.0935203431772866,0.0443407405198296,0
peptide_nm_291,0.0011505389366598,0.0526315789473684,0.0526315789473684,0
peptide_nm_292,0.00121180509225,0.1596113491488436,0.1596113491488436,0
peptide_nm_293,0.0004984035122729,0.1299372385307457,0.1299372385307457,0
peptide_nm_294,0.0005294746187091,0.0756220717278281,0.0756220717278281,0
peptide_nm_295,-0.0008007298527209,0.0939018631130359,0.0939018631130359,0
peptide_nm_296,-0.0003298789310314,0.019593490400442,0.019593490400442,0
peptide_nm_297,0.0003198140197989,0.0173300412504459,0.0173300412504459,0
peptide_nm_298,0.0003728049327049,0.095916704262029,0.0782189457019162,0
peptide_nm_299,0.0006698467471835,0.0247491115589931,0.0247491115589931,0
