,Z3__1,Z3__2,Z3__3,Z3__4,Z3__5,Z3__6,Z3__7,Z3__8,Z3__9,Z3__10,Z3__11,Z3__12,Z3__13,Z3__14,Z3__15,Z3__16,Z3__17,Z3__18,Z3__19,Z3__20,Z3__21,Z3__22,Z3__23,Z3__24,Z3__25,Z3__26,Z3__27,Z3__28,Z3__29,Z3__30,y
peptide_nm_21,7.197127777777778,-1.3167941176470583,1.9162812500000008,1.3246600000000004,0.9372857142857148,-0.7877666666666665,1.4828000000000003,-0.8923187500000002,-0.0007066666666664,0.9620857142857144,1.4841888888888892,-0.6107,0.4711625,-0.3019733333333333,0.6326785714285715,6.973061111111113,2.5002705882352942,3.967437500000001,1.2884533333333332,4.331321428571429,0.6462444444444443,1.3992470588235295,-0.3414125,0.8162066666666665,0.5407142857142857,0.7722777777777776,-0.0448823529411765,0.004075,-0.0952933333333333,0.3955857142857142,0
peptide_nm_22,9.130605263157896,1.1383944444444436,-0.4977705882352938,-3.5214937500000008,-4.0988066666666665,-2.3446157894736843,-0.7194555555555555,1.105264705882353,-1.1912187499999998,-2.602713333333333,1.630147368421053,0.1384999999999999,0.5478941176470586,-0.54286875,-0.3680733333333332,11.67736315789474,2.5639277777777787,0.2910764705882352,3.1308812500000007,9.03374666666667,0.4430263157894735,0.5975500000000001,-0.4965999999999999,1.5365687499999998,-0.9970466666666667,1.666857894736842,0.3307388888888889,0.5374882352941177,0.28441875,-0.2851533333333333,0
peptide_nm_23,6.209677777777778,-0.2953823529411764,3.36965625,0.8034733333333333,0.9735785714285716,-0.3400444444444445,-1.4298117647058823,-1.39294375,-1.7616866666666666,-0.3670428571428569,0.2228611111111112,0.4587235294117646,-0.8963125000000001,-0.6929200000000001,-1.1930642857142857,4.574816666666666,1.1058823529411763,1.1508875,1.5477266666666665,0.3710857142857144,0.4254666666666665,1.0048235294117644,-1.0479624999999997,-0.3675133333333332,-0.6989714285714286,2.2975000000000003,0.1566647058823529,-0.20151875,-0.1909466666666667,-0.4292428571428571,0
peptide_nm_24,8.725944444444444,-2.9975058823529417,-1.9720250000000004,1.1298466666666664,0.9821357142857144,1.1642277777777776,0.520270588235294,-0.2507937499999999,2.2916066666666666,0.885007142857143,0.2982444444444446,0.1534588235294117,-0.985475,1.0468266666666666,0.0564571428571428,2.598938888888889,0.6051705882352939,0.5351125000000001,-0.0881666666666666,-0.4534000000000001,-0.0418333333333333,0.102070588235294,0.294475,0.5053199999999999,0.0817999999999999,1.2946,0.2157235294117647,0.3058249999999999,0.1050733333333333,0.0920285714285714,0
peptide_nm_25,5.37932,0.7790500000000002,-4.1921333333333335,-1.2543500000000003,1.6957999999999998,0.7695200000000002,1.3414999999999997,0.6788333333333334,-2.3017,-2.8304,-0.8130399999999998,2.90065,0.3150666666666666,-1.44655,-0.0122,3.8333,3.3393,3.561866666666667,3.1884,2.0416,-0.79864,-0.503375,0.8243999999999997,1.05,0.0088,4.47526,-2.026725,-2.560666666666666,2.63145,0.0223,0
peptide_nm_26,12.813428571428572,-2.512584615384616,-0.2277250000000001,-3.5908909090909096,-4.678510000000001,0.8536928571428571,0.9846923076923078,2.30245,-0.5924727272727275,1.4186099999999997,3.1168928571428576,-0.5465307692307693,1.7829333333333337,0.7021181818181819,0.26931,2.917878571428571,0.3900923076923076,-0.2065583333333334,-0.184581818181818,0.5732799999999998,1.4725499999999996,1.0725461538461536,0.7894083333333333,-0.4871363636363636,-0.17107,1.994942857142857,0.1769769230769229,0.7239083333333333,0.0145090909090908,0.3793899999999999,0
peptide_nm_27,9.060978571428572,-2.080184615384616,-1.9869,-1.0187636363636363,3.879440000000001,0.1893857142857143,-1.1618384615384616,-0.9104083333333334,1.3039272727272733,-2.5679500000000006,0.0999714285714289,-2.740723076923077,2.218341666666667,-1.2930090909090912,1.1986400000000006,4.121407142857144,-1.2039076923076923,0.9435166666666666,0.3642727272727271,-0.69794,0.3048999999999999,0.6851846153846156,0.7378583333333332,-0.1796545454545455,0.5056600000000001,3.151071428571428,-0.274376923076923,0.863625,-1.4366545454545454,0.8071900000000003,0
peptide_nm_28,9.142072222222223,0.5000823529411765,-4.423325,-0.5873666666666667,3.2429642857142857,2.412144444444444,1.171735294117647,-3.2834250000000003,0.0459066666666665,1.4475285714285715,1.3709388888888887,-0.4193294117647059,-0.92973125,-1.7830199999999998,0.9949071428571428,4.030527777777778,-0.3690882352941176,0.99535625,0.3008266666666666,2.026685714285714,0.5138277777777779,0.4793470588235293,0.53324375,-0.2930399999999998,1.2479785714285714,2.30685,-0.3365999999999999,0.61316875,-1.1085533333333333,-0.1004928571428571,0
peptide_nm_29,8.518816666666668,3.446411764705882,1.6405500000000002,1.7267199999999998,1.3555714285714282,2.7943,1.5365411764705883,0.6034250000000001,-0.2677533333333333,0.2512285714285713,-1.6674777777777772,-2.7870352941176466,0.1054249999999999,-0.1281866666666666,-3.4290928571428574,2.5099,0.650311764705882,0.182125,-0.2922333333333335,-0.7365857142857143,-1.3639,-0.0578470588235295,-0.43235625,0.05692,-0.0428499999999999,4.476344444444444,0.2001117647058824,-0.432075,-0.3345399999999999,2.0687357142857143,0
peptide_nm_30,6.74441875,1.0237533333333333,1.16255,-0.6044923076923077,0.7317666666666666,-0.4433999999999996,2.07772,1.962378571428572,2.439161538461539,0.0685083333333332,-0.3093625000000001,0.64682,0.1018571428571428,-1.0195076923076922,1.1754999999999998,6.263281250000003,2.226733333333333,-0.4304,-0.3565692307692309,-0.0576916666666665,-0.6460187500000002,-0.4863933333333329,2.371799999999999,1.935284615384616,0.0185333333333334,3.6223125,1.1782866666666665,-0.4127428571428572,-0.6194384615384615,-1.122925,0
