,APAAC_Pc1.A,APAAC_Pc1.R,APAAC_Pc1.N,APAAC_Pc1.D,APAAC_Pc1.C,APAAC_Pc1.Q,APAAC_Pc1.E,APAAC_Pc1.G,APAAC_Pc1.H,APAAC_Pc1.I,APAAC_Pc1.L,APAAC_Pc1.K,APAAC_Pc1.M,APAAC_Pc1.F,APAAC_Pc1.P,APAAC_Pc1.S,APAAC_Pc1.T,APAAC_Pc1.W,APAAC_Pc1.Y,APAAC_Pc1.V,APAAC_Pc2.Hydrophobicity.1,APAAC_Pc2.Hydrophilicity.1,APAAC_Pc2.Hydrophobicity.2,APAAC_Pc2.Hydrophilicity.2,APAAC_Pc2.Hydrophobicity.3,APAAC_Pc2.Hydrophilicity.3,y
peptide_nm_11,0.0,0.0,1.052014100989292,0.0,0.0,1.052014100989292,0.0,1.052014100989292,0.0,0.0,2.104028201978584,2.104028201978584,0.0,0.0,0.0,1.052014100989292,1.052014100989292,0.0,4.208056403957168,0.0,-0.016413312242548,-0.0053867569502653,0.0039994638674045,-0.0088154740398454,-0.0113768682699106,-0.014021153354127,0
peptide_nm_12,3.061705554458405,2.0411370363056034,1.0205685181528017,2.0411370363056034,0.0,0.0,2.0411370363056034,2.0411370363056034,1.0205685181528017,0.0,2.0411370363056034,1.0205685181528017,1.0205685181528017,3.061705554458405,0.0,3.061705554458405,3.061705554458405,0.0,0.0,0.0,-0.0086518914573228,0.003659166831278,-0.0026730403783002,-0.0010977886932844,-0.0048406666814154,-0.0069642977737568,0
peptide_nm_13,0.9408699660783758,1.881739932156752,0.0,1.881739932156752,0.0,1.881739932156752,1.881739932156752,3.7634798643135032,1.881739932156752,0.0,0.9408699660783758,2.8226098982351275,0.0,0.9408699660783758,0.9408699660783758,2.8226098982351275,3.7634798643135032,0.0,0.0,0.9408699660783758,0.0044037437595296,0.0012838759219335,0.0066916422585256,0.0189536221838205,0.0124984676636993,0.0152986821341153,0
peptide_nm_14,4.066502657464459,0.0,2.0332513287322294,1.016625664366115,0.0,0.0,1.016625664366115,1.016625664366115,0.0,0.0,3.0498769930983443,2.0332513287322294,1.016625664366115,0.0,1.016625664366115,1.016625664366115,1.016625664366115,0.0,0.0,1.016625664366115,-0.0130401135166225,-0.0094154995793089,-0.0021122641135299,0.00984612022773,-0.0003124862998903,-0.001591421084493,0
peptide_nm_15,2.986481448630176,0.0,0.9954938162100586,0.9954938162100586,0.0,0.0,0.0,5.972962897260351,1.9909876324201168,0.0,0.0,1.9909876324201168,0.0,0.9954938162100586,2.986481448630176,0.0,1.9909876324201168,0.0,0.0,1.9909876324201168,0.012422860319402,0.0071971439887709,0.0017624974703485,-0.0056102629032856,-0.0069703018319098,-0.0042957532533845,0
peptide_nm_16,0.0,0.0,0.0,1.972045974761176,0.0,0.9860229873805878,3.944091949522351,0.9860229873805878,0.9860229873805878,0.9860229873805878,2.9580689621417635,0.0,0.0,0.0,1.972045974761176,0.9860229873805878,0.9860229873805878,0.0,0.9860229873805878,0.9860229873805878,-0.0034612964723702,-0.013748103394369,-0.0047735350467482,-0.0022267048995924,0.0127381118458963,0.0254485405865959,0
peptide_nm_17,8.049392695369619,0.0,5.030870434606011,1.0061740869212024,0.0,1.0061740869212024,2.0123481738424047,4.024696347684809,2.0123481738424047,2.0123481738424047,2.0123481738424047,9.05556678229082,2.0123481738424047,2.0123481738424047,12.074089043054428,11.067914956133224,3.018522260763606,1.0061740869212024,1.0061740869212024,6.037044521527213,0.0042395295641027,0.0044339678805995,-0.0089301595567787,-0.0047791838437386,-0.0004427976837989,-0.0006954432815882,0
peptide_nm_18,0.0,0.0,0.9846539814695064,1.969307962939013,0.9846539814695064,0.9846539814695064,0.9846539814695064,0.9846539814695064,0.0,0.0,2.9539619444085194,0.0,0.0,0.0,0.0,1.969307962939013,0.0,0.0,0.9846539814695064,0.0,-0.0001788733972255,-0.003558058194607,0.0015695610349437,-0.0032068789799112,0.0093802246452322,0.0113400434220613,0
peptide_nm_19,3.8169293800379793,0.9542323450094948,0.9542323450094948,0.0,0.0,0.9542323450094948,0.9542323450094948,0.0,0.0,0.9542323450094948,0.9542323450094948,2.8626970350284844,1.9084646900189897,0.0,1.9084646900189897,0.0,0.0,0.0,0.0,1.9084646900189897,0.0069154553333688,0.0098629655231447,-0.0041148106998344,0.0042269150095595,0.0224393252382175,0.0064378045860489,0
peptide_nm_20,2.0013414723433702,2.0013414723433702,2.0013414723433702,1.0006707361716851,0.0,0.0,3.002012208515056,2.0013414723433702,0.0,0.0,1.0006707361716851,1.0006707361716851,0.0,0.0,1.0006707361716851,0.0,0.0,0.0,1.0006707361716851,3.002012208515056,-0.0110943259992847,0.007067401512932,0.0161648961772474,0.0317563860083235,-0.0268999351066298,-0.0176651587642735,0
peptide_nm_21,1.9229056918029372,0.0,1.9229056918029372,0.0,0.0,0.0,0.0,2.8843585377044065,0.0,0.0,3.845811383605875,0.0,0.9614528459014688,0.0,0.0,1.9229056918029372,2.8843585377044065,0.0,0.0,0.9614528459014688,0.0085164332856203,0.0010414310048007,0.0097296259792163,0.0042970698444139,0.0112206792951336,0.003741914689346,0
peptide_nm_22,1.0203409198664035,0.0,1.0203409198664035,2.0406818397328075,0.0,0.0,0.0,6.122045519198423,0.0,2.0406818397328075,1.0203409198664035,1.0203409198664035,0.0,0.0,0.0,1.0203409198664035,1.0203409198664035,1.0203409198664035,0.0,2.0406818397328075,0.0041894708924521,-0.0001987704817786,0.0025627527132084,-0.001564451978729,-0.0076620664845376,-0.0176678545270191,0
peptide_nm_23,1.9945228519093845,0.0,0.0,1.9945228519093845,0.0,0.0,0.9972614259546922,0.9972614259546922,0.0,0.0,0.0,1.9945228519093845,0.0,0.9972614259546922,0.0,2.9917842778640766,2.9917842778640766,0.0,0.9972614259546922,1.9945228519093845,-0.0108086607055597,-0.0089849932296497,0.010530467117084,0.0228140074739349,-0.0076274285373733,-0.0031848180731282,0
peptide_nm_24,2.0515533307998988,1.0257766653999494,0.0,0.0,0.0,2.0515533307998988,2.0515533307998988,0.0,0.0,2.0515533307998988,2.0515533307998988,0.0,0.0,1.0257766653999494,0.0,3.077329996199848,1.0257766653999494,0.0,1.0257766653999494,1.0257766653999494,-0.0125614461540339,-0.019937633314448,0.0015832470752306,-0.0003299066598222,0.0076496377236561,-0.0021805640705319,0
peptide_nm_25,0.0,1.041994610093432,0.0,1.041994610093432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.041994610093432,0.0,0.0,0.0,2.083989220186864,0.0,0.0194282828772014,-0.0130150380014155,-0.0218625335135147,-0.0627107137593924,-0.0011083064504927,0.0372736987541817,0
peptide_nm_26,0.0,0.0,1.054214291604394,4.216857166417576,0.0,0.0,2.108428583208788,0.0,0.0,1.054214291604394,1.054214291604394,0.0,0.0,1.054214291604394,0.0,1.054214291604394,0.0,1.054214291604394,1.054214291604394,1.054214291604394,-0.0073666157227275,-0.0358150793118414,0.002066825622338,0.0212939546051564,-0.0169467253314939,-0.0174466514658254,0
