,Moran_CIDH920105.lag1,Moran_CIDH920105.lag2,Moran_CIDH920105.lag3,Moran_BHAR880101.lag1,Moran_BHAR880101.lag2,Moran_BHAR880101.lag3,Moran_CHAM820101.lag1,Moran_CHAM820101.lag2,Moran_CHAM820101.lag3,Moran_CHAM820102.lag1,Moran_CHAM820102.lag2,Moran_CHAM820102.lag3,Moran_CHOC760101.lag1,Moran_CHOC760101.lag2,Moran_CHOC760101.lag3,Moran_BIGC670101.lag1,Moran_BIGC670101.lag2,Moran_BIGC670101.lag3,Moran_CHAM810101.lag1,Moran_CHAM810101.lag2,Moran_CHAM810101.lag3,Moran_DAYM780201.lag1,Moran_DAYM780201.lag2,Moran_DAYM780201.lag3,y
peptide_nm_31,0.1436220544195745,0.0995051021532909,-0.1343102633060739,-0.0050672167075509,-0.2412564908810449,-0.0685605909315634,-0.003607282481463,-0.0209386570599722,-0.2712656306529969,-0.1136992762035155,-0.2452198035711288,0.0422198980912761,-4.2624466221223456e-05,0.0541956652029795,-0.2426936314420349,-0.0615259118955365,0.076652492349908,-0.2677745846585306,-0.061639784797276,-0.0563150419502176,0.0004542103237417,0.1397375689322661,-0.2406886560732324,0.2277669158772897,0
peptide_nm_32,0.1885923057202427,-0.3727849351227419,-0.4595777372542062,-0.0520825030871509,-0.182412356028488,-0.6222932154738601,-0.2266101962663043,-0.4476013674317086,0.1328331256304651,-0.3274671380234836,-0.0778305803911566,-0.3419324420959017,-0.3168949191318992,-0.41279272981475,0.2303390422929046,-0.1813655869667787,-0.4299143056187497,0.1249727032842275,-0.1436519270962221,-0.1612475812534844,-0.3414887453128245,-0.5305121989171707,-0.2538575976196951,0.7776569140285486,0
peptide_nm_33,-0.1474956228041048,-0.2450308599793634,-0.5466273291142257,0.029026600563654,-0.4036594294160967,0.3359833967686297,0.2006287656682425,-0.0317658256779721,0.3439619493493259,-0.0366817074588261,0.00177227904996,0.2679815965867096,0.3286088758839307,-0.000454434616834,0.3285296269202634,0.1299090341034081,-0.1448490163318939,0.2951834945715846,0.079362293973899,-0.4242069738092199,-0.1519887693027606,0.0604095324244578,-0.1236712932778061,-0.0591932114320174,0
peptide_nm_34,0.0476102317914146,-0.2240795515966071,-0.0469725535926322,0.2290229504891862,-0.4725690310143451,-0.2027744703369809,-0.0049912387829872,-0.5679498752190305,-0.1079023522540221,-0.6230321063692545,0.3629198995189328,-0.1461763502296401,-0.3111111111111111,-0.2333333333333332,-5.872993064093278e-17,0.0397163729760051,-0.5868162108337337,-0.0914873716727166,-0.49515503875969,-0.0379844961240309,0.0746124031007752,0.0661563071297988,-0.6355393053016454,-0.1133226691042047,0
peptide_nm_35,-0.4567673355423118,0.2320670907924255,-0.2111809678972596,-0.1618321809456505,0.0103665404417804,0.0238126960542401,-0.3332939155728338,0.047167588046824,-0.344052793106437,-0.1198786679367818,0.1551106324001131,0.4619629412782168,-0.3775357271019356,0.0030306594172087,-0.2324352235694138,-0.3409083993432834,0.0830663149637059,-0.3582656820932169,-0.3983907709189727,0.1383758908642784,0.3314250447628019,-0.4308570038181166,0.3249723993386753,-0.2708651695627093,0
peptide_nm_36,-0.4439400410034999,0.0157223964915855,-0.3620773004459224,-0.3317814261210488,0.007345013477089,-0.228137166816412,-0.3427380234418019,0.0495990770118257,-0.1617921353715989,0.0125060980829045,-0.4150865434524464,-0.1040956336438582,-0.3486977886977886,0.0073513513513513,-0.2183783783783784,-0.3941623703356253,-0.023534557266439,-0.2340060526460091,0.0170887782871993,-0.6773972098953097,-0.544953048765538,-0.197874056729274,-0.1462052400219209,-0.0743793943775287,0
peptide_nm_37,-0.0680713006760232,-0.2003911692687155,0.2924926232411396,-0.0739243722438473,-0.2522569165272562,-0.103387820403184,0.0298628805952859,-0.0879461406796173,-0.0339933989158591,0.0686456490720801,0.3100364808199748,0.2069393653380518,0.042234388202493,-0.0886896597806897,-0.0344388966259416,0.0668366890539915,-0.0714541220611102,0.0566718730041624,0.3369715549312842,0.0181364149045055,0.1422059843030068,0.005293610504123,-0.0911898833974599,-0.1445173701252278,0
peptide_nm_38,-0.2096114174398858,-0.1845272826431388,0.0974658610898029,-0.3909059775095681,0.0183738237055538,0.0518274636608001,0.3988884936813626,0.2594331496594099,0.1199038690100305,-0.1362940772539766,-0.1462361520479919,-0.095473754294868,0.2397025213330952,0.3195365587831114,0.1069545799175472,0.2623349848672128,0.2205470414600852,0.1353790495241548,0.1285628027261939,-0.0744067612285798,0.0514180403001537,-0.1183788898326343,-0.502152068196121,0.0662868299101778,0
peptide_nm_39,0.1577075106464207,-0.4248003353617756,-0.1558594195162478,-0.083059598834743,-0.1122452775522074,0.0925438604210225,0.0803533139873528,0.1846385158038165,0.0538894118792076,-0.2581187628305302,-0.0362722941037696,-0.2752463304376426,0.180379746835443,0.2376768428890543,0.0345727848101265,0.0724386957900478,-0.0397021842675011,0.0680229242452438,0.2090952560714735,-0.2420251815335421,-0.1801274065685164,0.0800503753463465,-0.3611280000841902,-0.3014201971409938,0
peptide_nm_40,0.1246243793741278,-0.3359890591966808,-0.4426028748473664,0.0852562107507288,-0.3998634176044037,-0.5123969863703796,-0.5525211917564146,0.3535585318058964,-0.2498683232233461,0.1688609982649319,0.0934695845520582,0.0368971304462705,-0.5553294630554114,0.4158045133163163,-0.2432529584447651,-0.5888656615427474,0.4761001987460185,-0.2543301702806262,-0.2355923175107288,0.2291656197549723,-0.0201758636857613,0.0208603178977572,-0.2366843501684593,-0.0911202824661445,0
