,MSW__1,MSW__2,MSW__3,MSW__4,MSW__5,MSW__6,MSW__7,MSW__8,MSW__9,MSW__10,MSW__11,MSW__12,MSW__13,MSW__14,MSW__15,MSW__16,MSW__17,MSW__18,MSW__19,MSW__20,MSW__21,MSW__22,MSW__23,MSW__24,MSW__25,MSW__26,MSW__27,MSW__28,MSW__29,MSW__30,y
peptide_nm_33,0.4248538461538461,0.2130166666666666,0.2626818181818182,0.22374,0.2619,-0.2460538461538461,-0.1307916666666666,-0.0682636363636363,-0.03619,-0.1311777777777777,0.1633461538461538,0.2120749999999999,0.0770090909090909,0.1046099999999999,0.0849555555555555,0.3647076923076923,0.0583583333333333,-0.059190909090909,0.0600699999999999,0.1709333333333333,-0.0306538461538461,-0.0053666666666666,-0.0288181818181818,-0.0253199999999999,-0.0349111111111111,0.3354538461538461,0.1101333333333333,0.0407999999999999,0.10068,-0.0052888888888888,0
peptide_nm_34,0.5098428571428572,0.3669333333333333,0.4528399999999999,0.3489,0.3654,-0.5288285714285713,-0.3306166666666666,-0.3621199999999999,-0.2104999999999999,-0.3733333333333333,0.3887714285714286,0.4173166666666666,0.55788,0.5737,0.7789333333333334,0.7048714285714286,0.1373,0.3820199999999999,0.2783249999999999,0.1643333333333333,-0.3344428571428571,-0.3148833333333333,-0.549,-0.570525,-0.7407333333333334,0.5709000000000001,0.4960666666666666,0.38814,0.396025,0.6289333333333333,0
peptide_nm_35,0.3087875,0.0864,-0.0007714285714285,0.1602,0.0953916666666666,-0.1623437499999999,-0.0587666666666666,0.0277071428571428,-0.0746230769230769,0.0965083333333333,0.15131875,0.1089999999999999,0.1999714285714285,0.0474153846153846,0.1962499999999999,0.4755812499999999,-0.04584,-0.09485,-0.1082384615384615,-0.0600249999999999,0.07925,0.0117066666666666,-0.1862285714285714,0.0356538461538461,-0.2023,0.5903750000000001,0.2147133333333332,0.3352857142857142,0.2674923076923077,0.20635,0
peptide_nm_36,0.3904583333333333,0.0054636363636363,0.11094,0.0574444444444444,0.1209124999999999,-0.2625166666666666,0.0856,-0.18555,-0.0783222222222222,-0.2488749999999999,0.2229666666666666,0.1316545454545454,0.20916,0.3037555555555555,0.1942875,0.4463499999999999,-0.0470090909090909,0.0610199999999999,0.1113333333333333,0.272625,-0.1801083333333333,-0.2352909090909091,-0.0893,-0.2907777777777778,-0.2180625,0.5327583333333333,0.1917090909090909,0.2147499999999999,0.2548888888888889,0.3701124999999999,0
peptide_nm_37,0.4156553191489362,0.257545652173913,0.2212733333333333,0.2935022727272727,0.243720930232558,-0.2987914893617022,-0.1596826086956521,-0.1433422222222222,-0.2074159090909091,-0.1491627906976743,0.2209914893617021,0.2826565217391305,0.2432333333333333,0.1668181818181817,0.2043116279069767,0.4010170212765954,0.1043065217391304,0.1013311111111111,0.1594636363636363,0.0617767441860465,-0.1106085106382978,-0.2042130434782608,-0.1735444444444444,-0.1267227272727272,-0.1486930232558139,0.4036702127659575,0.2185239130434783,0.205291111111111,0.217815909090909,0.2695953488372092,0
peptide_nm_38,0.3774037037037037,0.1773538461538461,0.147792,0.1271833333333333,0.1439608695652174,-0.2255,-0.0946384615384615,-0.208528,-0.0913958333333333,-0.1290130434782609,0.2165333333333333,0.1047923076923077,0.135896,0.0957541666666666,0.0937130434782608,0.3467888888888887,0.059026923076923,0.106156,0.0473125,-0.0488260869565217,-0.1510851851851851,-0.0922346153846153,-0.094264,-0.0902333333333333,-0.0475695652173912,0.3640148148148148,0.1401769230769231,0.142812,0.1006916666666666,0.1566130434782609,0
peptide_nm_39,0.4378894736842104,0.0339611111111111,-0.085135294117647,0.0910749999999999,0.19678,-0.2271052631578947,-0.1616333333333333,0.0478411764705882,0.075625,-0.2322933333333333,0.0975263157894736,0.1925888888888889,0.2091117647058823,0.0143875,-0.0030466666666666,0.3981263157894737,0.1324555555555555,-0.0080294117647058,0.0721624999999999,0.1026733333333333,-0.1299736842105263,-0.2107555555555555,-0.1997058823529411,-0.0470062499999999,-0.1625599999999999,0.3030421052631579,0.1522888888888888,0.1470117647058823,0.14535,0.1956533333333333,0
peptide_nm_40,0.3171384615384615,-0.0786999999999999,0.0174,-0.0416043478260869,0.0291818181818181,-0.0524961538461538,-0.195376,-0.0375708333333333,0.0105347826086956,0.0417409090909091,0.0928615384615384,0.0103399999999999,0.1445,0.0637043478260869,0.08875,0.4028423076923076,0.157964,0.0144083333333333,-0.0591130434782608,-0.0411636363636363,-0.0796538461538461,-0.0993319999999999,-0.0869625,-0.1626304347826086,-0.1681863636363636,0.4342999999999999,0.329212,0.317875,0.2981217391304348,0.3328681818181818,0
peptide_nm_41,0.3229142857142856,0.0835148148148148,-0.0520384615384615,0.030248,0.0339083333333333,-0.1435571428571428,0.0314185185185185,0.0938653846153846,0.058024,-0.0473333333333333,0.0087178571428571,0.0353074074074074,-0.0169115384615384,-0.023564,-0.0217374999999999,0.4693714285714285,0.1598851851851851,0.0218961538461538,-0.0830479999999999,-0.0713958333333333,0.0332178571428571,-0.0667629629629629,-0.0227461538461538,-0.0358879999999999,-0.038925,0.4130892857142856,0.1616296296296296,0.1688,-0.029792,-0.0441166666666666,0
peptide_nm_43,0.4770416666666666,0.103490909090909,-0.03181,0.0831666666666666,0.061525,0.1735916666666666,0.0112181818181818,0.32226,0.2235555555555555,0.0784375,-0.0683083333333333,-0.2151363636363636,0.00588,0.1314888888888888,-0.01565,0.475925,0.0432545454545454,0.2558399999999999,0.1060222222222222,0.1825125,-0.0814166666666666,-0.1012454545454545,-0.14614,-0.0956111111111111,-0.0943624999999999,0.4709166666666666,0.0816363636363636,0.03178,0.0407777777777777,0.0037374999999999,0
