,AAC_A,AAC_R,AAC_N,AAC_D,AAC_C,AAC_Q,AAC_E,AAC_G,AAC_H,AAC_I,AAC_L,AAC_K,AAC_M,AAC_F,AAC_P,AAC_S,AAC_T,AAC_W,AAC_Y,AAC_V,y
peptide_nm_38,0.074074074074074,0.037037037037037,0.0,0.037037037037037,0.1481481481481481,0.037037037037037,0.1851851851851851,0.037037037037037,0.0,0.037037037037037,0.074074074074074,0.037037037037037,0.037037037037037,0.0,0.0,0.1481481481481481,0.074074074074074,0.0,0.037037037037037,0.0,0
peptide_nm_39,0.0526315789473684,0.0,0.1578947368421052,0.0526315789473684,0.0,0.0,0.1052631578947368,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.1052631578947368,0.0526315789473684,0.0526315789473684,0.0,0.0526315789473684,0.0,0.0,0.0,0.0526315789473684,0.1578947368421052,0
peptide_nm_40,0.1153846153846153,0.0,0.0,0.1153846153846153,0.0384615384615384,0.0384615384615384,0.1923076923076923,0.1153846153846153,0.1153846153846153,0.0384615384615384,0.0,0.0,0.0,0.0384615384615384,0.0769230769230769,0.0769230769230769,0.0384615384615384,0.0,0.0,0.0,0
peptide_nm_41,0.0357142857142857,0.1071428571428571,0.0,0.1428571428571428,0.0,0.0357142857142857,0.1071428571428571,0.0,0.0,0.0357142857142857,0.1071428571428571,0.1428571428571428,0.0714285714285714,0.0714285714285714,0.0357142857142857,0.0714285714285714,0.0,0.0,0.0357142857142857,0.0,0
peptide_nm_43,0.0833333333333333,0.1666666666666666,0.0,0.0833333333333333,0.0,0.0,0.0,0.0833333333333333,0.0833333333333333,0.0,0.0,0.0,0.0,0.1666666666666666,0.0833333333333333,0.0,0.0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0
peptide_nm_44,0.2222222222222222,0.0,0.0,0.1666666666666666,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0555555555555555,0.1111111111111111,0.0555555555555555,0.0,0.0,0.0,0.0,0.0555555555555555,0
peptide_nm_45,0.1379310344827586,0.0344827586206896,0.0,0.0689655172413793,0.0,0.0689655172413793,0.0689655172413793,0.0344827586206896,0.0344827586206896,0.1379310344827586,0.0689655172413793,0.0344827586206896,0.0344827586206896,0.0344827586206896,0.1379310344827586,0.0344827586206896,0.0,0.0,0.0,0.0689655172413793,0
peptide_nm_46,0.1166666666666666,0.0166666666666666,0.0166666666666666,0.1,0.0,0.0666666666666666,0.0833333333333333,0.0666666666666666,0.05,0.0666666666666666,0.0833333333333333,0.1166666666666666,0.0166666666666666,0.0166666666666666,0.0166666666666666,0.0833333333333333,0.0166666666666666,0.0,0.0166666666666666,0.05,0
peptide_nm_47,0.04,0.08,0.08,0.1,0.0,0.02,0.06,0.04,0.0,0.1,0.14,0.18,0.02,0.0,0.0,0.06,0.02,0.0,0.02,0.04,0
peptide_nm_48,0.1538461538461538,0.0,0.0769230769230769,0.0769230769230769,0.0,0.0,0.0,0.0769230769230769,0.0,0.0769230769230769,0.0769230769230769,0.1538461538461538,0.0,0.0,0.0,0.1538461538461538,0.0769230769230769,0.0,0.0,0.0769230769230769,0
peptide_nm_49,0.125,0.125,0.0625,0.125,0.0,0.0,0.25,0.0625,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0
peptide_nm_50,0.0454545454545454,0.0909090909090909,0.0,0.0909090909090909,0.0454545454545454,0.0454545454545454,0.0454545454545454,0.1363636363636363,0.0,0.0,0.1363636363636363,0.0454545454545454,0.0,0.0454545454545454,0.0909090909090909,0.0454545454545454,0.0909090909090909,0.0,0.0454545454545454,0.0,0
peptide_nm_51,0.074074074074074,0.1481481481481481,0.074074074074074,0.0,0.0,0.1851851851851851,0.074074074074074,0.037037037037037,0.037037037037037,0.037037037037037,0.1481481481481481,0.0,0.0,0.074074074074074,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0
peptide_nm_52,0.1111111111111111,0.0555555555555555,0.0,0.0555555555555555,0.0,0.0,0.0555555555555555,0.1111111111111111,0.0,0.2222222222222222,0.1666666666666666,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0
