,GAAC_alphatic,GAAC_aromatic,GAAC_postivecharge,GAAC_negativecharge,GAAC_uncharge,y
peptide_nm_150,0.3888888888888889,0.0,0.1666666666666666,0.1666666666666666,0.2777777777777778,0
peptide_nm_151,0.3571428571428571,0.0,0.0,0.0714285714285714,0.5714285714285714,0
peptide_nm_152,0.375,0.0,0.1875,0.0625,0.375,0
peptide_nm_153,0.5517241379310345,0.0344827586206896,0.2068965517241379,0.1034482758620689,0.1034482758620689,0
peptide_nm_154,0.4444444444444444,0.0555555555555555,0.1666666666666666,0.2222222222222222,0.1111111111111111,0
peptide_nm_155,0.3333333333333333,0.0416666666666666,0.2083333333333333,0.1666666666666666,0.25,0
peptide_nm_156,0.3888888888888889,0.0,0.1111111111111111,0.1666666666666666,0.3333333333333333,0
peptide_nm_157,0.2105263157894736,0.1052631578947368,0.1578947368421052,0.1052631578947368,0.4210526315789473,0
peptide_nm_158,0.3103448275862069,0.0689655172413793,0.1034482758620689,0.3103448275862069,0.2068965517241379,0
peptide_nm_159,0.4242424242424242,0.0606060606060606,0.0606060606060606,0.0909090909090909,0.3636363636363636,0
peptide_nm_160,0.4838709677419355,0.064516129032258,0.1612903225806451,0.1290322580645161,0.1612903225806451,0
peptide_nm_161,0.125,0.0,0.0,0.75,0.125,0
peptide_nm_162,0.7083333333333334,0.0,0.1666666666666666,0.0416666666666666,0.0833333333333333,0
peptide_nm_163,0.4230769230769231,0.0384615384615384,0.1538461538461538,0.2307692307692307,0.1538461538461538,0
peptide_nm_164,0.6086956521739131,0.0,0.1304347826086956,0.0434782608695652,0.217391304347826,0
peptide_nm_165,0.5833333333333334,0.0833333333333333,0.0,0.25,0.0833333333333333,0
peptide_nm_166,0.3125,0.125,0.0625,0.1875,0.3125,0
peptide_nm_167,0.3703703703703703,0.0,0.1851851851851851,0.074074074074074,0.3703703703703703,0
peptide_nm_168,0.4642857142857143,0.1071428571428571,0.0714285714285714,0.1071428571428571,0.25,0
peptide_nm_169,0.3888888888888889,0.0555555555555555,0.1666666666666666,0.1666666666666666,0.2222222222222222,0
peptide_nm_170,0.2727272727272727,0.1818181818181818,0.0909090909090909,0.0909090909090909,0.3636363636363636,0
peptide_nm_171,0.5714285714285714,0.0357142857142857,0.0714285714285714,0.1071428571428571,0.2142857142857142,0
peptide_nm_172,0.6190476190476191,0.0,0.0952380952380952,0.1428571428571428,0.1428571428571428,0
peptide_nm_173,0.6363636363636364,0.0,0.1818181818181818,0.0909090909090909,0.0909090909090909,0
peptide_nm_174,0.5,0.0384615384615384,0.1538461538461538,0.0769230769230769,0.2307692307692307,0
peptide_nm_175,0.5294117647058824,0.0588235294117647,0.1176470588235294,0.1764705882352941,0.1176470588235294,0
peptide_nm_176,0.4347826086956521,0.0434782608695652,0.1521739130434782,0.1956521739130435,0.1739130434782608,0
peptide_nm_177,0.3333333333333333,0.0833333333333333,0.0,0.0833333333333333,0.5,0
